$ps ax

  PID TTY      STAT   TIME COMMAND
 1376 tty2     SNl+   0:00 /usr/lib/tracker/tracker-miner-apps
 1383 ?        Ssl    0:00 /usr/lib/tracker/tracker-store
 1458 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 2214 tty2     Sl+  104:54 /usr/lib/firefox-esr/firefox-esr
 2316 tty2     Sl+    1:02 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 2 -isForBrowser -prefsLen 6427 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/bro
 2381 tty2     Sl+    0:29 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 4 -isForBrowser -prefsLen 7330 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/bro
 3100 tty2     Sl+    0:01 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20210412162915 -prefsLen 8985 -prefMapSize 220111 -appdir /usr/lib/firefox-esr/browser 2214 true rdd
 3240 tty2     Sl+    0:18 /usr/lib/speech-dispatcher-modules/sd_generic /etc/speech-dispatcher/modules/generic.conf
 3243 tty2     Sl+    0:17 /usr/lib/speech-dispatcher-modules/sd_generic /etc/speech-dispatcher/modules/mary-generic.conf
 3246 tty2     Sl+    0:17 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
 3252 tty2     Sl+    0:18 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
 3255 ?        Ssl    0:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000/speech-dispatcher/speechd.sock
 3260 tty2     Sl+  102:02 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 6 -isForBrowser -prefsLen 9279 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/bro
 3903 ?        I<     0:03 [kworker/u33:1-kcryptd]
 4700 ?        SLl    0:00 /usr/bin/seahorse --gapplication-service
 4729 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.13 /org/gtk/gvfs/exec_spaw/0
 4862 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.13 /org/gtk/gvfs/exec_spaw/1
 5039 ?        I      0:00 [kworker/u32:0-events_unbound]
11640 ?        I      0:00 [kworker/u32:2-events_unbound]
11664 ?        I<     0:00 [kworker/u33:2-kcryptd]
11967 ?        I      0:01 [kworker/1:2-mm_percpu_wq]
12064 ?        I<     0:00 [kworker/u33:3-kcryptd]
12194 ?        I      0:00 [kworker/2:1-events]
12273 ?        I<     0:00 [kworker/u33:0-kcryptd]
12296 ?        I      0:00 [kworker/0:1-events]
12304 ?        I      0:00 [kworker/1:1-events]
12409 ?        I      0:00 [kworker/2:2-events]
13614 ?        I      0:01 [kworker/0:2-events]
14123 ?        I      0:00 [kworker/1:0-events_freezable_power_]
14142 pts/1    R+     0:00 ps ax
16110 ?        I      0:00 [kworker/3:1-events]
17217 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.13 /org/gtk/gvfs/exec_spaw/3
17238 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.13 /org/gtk/gvfs/exec_spaw/6
18167 ?        I      0:00 [kworker/3:0-events]
18867 tty2     Sl+   27:14 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 21 -isForBrowser -prefsLen 9923 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/br
19562 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-http --spawner :1.13 /org/gtk/gvfs/exec_spaw/8
20261 ?        I      0:03 [kworker/2:0-mm_percpu_wq]
23951 ?        S      0:00 [irq/32-mei_me]
24145 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-wlp3s0.pid -lf /var/lib/NetworkManager/dhclient-ac925668-f3f7-4536-87fb-3b9062b6dcc7-w
24300 ?        Sl     0:00 /usr/lib/NetworkManager/nm-openvpn-service --bus-name org.freedesktop.NetworkManager.openvpn.Connection_28
24307 ?        S      1:13 /usr/sbin/openvpn --remote 192.168.101.2 61194 tcp-client --remote 192.168.100.2 61194 tcp-client --remote 192.168.100.1 61194 tcp-client --remote 78.36.1.235 61194 tcp
24414 tty2     Sl+    2:18 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 25 -isForBrowser -prefsLen 10080 -prefMapSize 220111 -parentBuildID 20210412162915 -appdir /usr/lib/firefox-esr/b
25213 ?        S      0:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
25466 tty2     S+     0:00 /bin/sh /snap/pycharm-community/240/bin/pycharm.sh
25507 tty2     Sl+   51:54 /snap/pycharm-community/240/jbr/bin/java -classpath /snap/pycharm-community/240/lib/bootstrap.jar:/snap/pycharm-community/240/lib/util.jar:/snap/pycharm-community/240/l
25562 tty2     S+     0:01 /snap/pycharm-community/240/bin/fsnotifier64
25712 tty2     S+     0:00 /snap/pycharm-community/240/jbr/lib/jcef_helper --type=zygote --no-zygote-sandbox --disable-in-process-stack-traces --no-sandbox --force-device-scale-factor=1.0 --local
25713 tty2     S+     0:00 /snap/pycharm-community/240/jbr/lib/jcef_helper --type=zygote --disable-in-process-stack-traces --no-sandbox --force-device-scale-factor=1.0 --locales-dir-path=/snap/py
25726 tty2     Sl+    0:36 /snap/pycharm-community/240/jbr/lib/jcef_helper --type=gpu-process --field-trial-handle=9261215645749785570,12063823614658998049,131072 --enable-features=CastMediaRoute
